date,hicp,d_l_M1,d_l_PKB_adj,price_exp_covid,covid_loans
2020Q3,1.46666666666667,0.0230449824005508,0.106892704881144,0,0
2020Q4,1.06666666666667,0.029277040906619,-0.0221032283507885,0,0
2021Q1,1.5,0.0298780495530444,-0.0134006605793964,5.26666666666667,5.58
2021Q2,2.56666666666667,0.0229118689412893,0.0391331411418392,18.4333333333333,5.536667
2021Q3,3.1,0.0262042234252569,0.0419943736953723,24.1,5.74
2021Q4,3.9,0.0196789267940183,-0.00286183528709394,31.2,5.643333
2022Q1,5.53333333333333,0.020816957586046,0.00641646205734858,39.8333333333333,5.796667
2022Q2,7.83333333333333,0.0138276963244497,0.0183923103741783,51.3666666666667,5.913333
2022Q3,9.9,0.00908586604406203,-0.00164966054788529,52.1,6.38
2022Q4,11.1,-0.0248629801276241,-0.00109457379170586,55.9666666666667,7.03
